feed,title,link,published,summary,fetched_at
CNN Top,Trump pleads not guilty to 34 felony counts,https://edition.cnn.com/webview/politics/live-news/trump-indictment-stormy-daniels-news-04-03-23/index.html,,,2026-02-05T05:21:01.741862
CNN Top,READ: Trump indictment related to hush money payment,https://cnn.it/411KYN7,,,2026-02-05T05:21:01.741862
CNN Top,Russian authorities detain suspect over St. Petersburg cafe blast,https://edition.cnn.com/webview/europe/live-news/russia-ukraine-war-news-04-03-23/index.html,,,2026-02-05T05:21:01.741862
CNN Top,Hundreds of millions at risk from Chinese shopping app malware,https://cnn.it/40OSomK,,,2026-02-05T05:21:01.741862
ESPN News,NBA trade buzz: Live updates and intel during deadline week,https://www.espn.com/nba/story/_/id/47191162/nba-buzz-latest-live-updates-trades-intel-league,2026-02-05T05:10:06,"Kristaps Porzingis is headed to the Warriors, and Giannis is not. Catch up on what we're hearing from insiders.",2026-02-05T05:21:04.500991
ESPN News,AD is a Wizard?! Grading the trade and who came out on top,https://www.espn.com/nba/story/_/id/47828120/anthony-davis-trade-grade-whats-next-dallas-mavericks-washington-wizards,2026-02-05T05:10:06,Kevin Pelton breaks down what's next for the Wizards and the Mavericks.,2026-02-05T05:21:04.500991
CNBC Business,"Sony reports 22% jump in December-quarter profit, beats expectations and lifts full-year outlook",https://www.cnbc.com/2026/02/05/sony-profit-jumps-22percent-in-december-quarter-beating-expectations-and-lifting-full-year-outlook.html,2026-02-05T05:08:31,Sony posted a stronger-than-expected rebound in operating profit for the December quarter and lifted its full-year forecast.,2026-02-05T05:21:03.379178
ESPN News,"Ryan Preece overcomes sleet, cautions to win The Clash",https://www.espn.com/racing/story/_/id/47834662/ryan-preece-overcomes-sleet-cautions-win-clash-bowman-gray,2026-02-05T05:06:42,"Ryan Preece is the winner of NASCAR's season-opening exhibition, The Clash.",2026-02-05T05:21:04.500991
CNBC Business,"Shares of Arm plunge 8% after licensing revenue misses estimates, Qualcomm outlook adds pressure",https://www.cnbc.com/2026/02/05/arm-shares-fall-licensing-revenue-miss-ai-demand.html,2026-02-05T05:03:15,"Shares of UK-based semiconductor designer Arm Holdings fell in aftermarket trading, despite the company posting record revenues amid AI demand.",2026-02-05T05:21:03.379178
CNBC Business,"Silver resumes its slide, plunging 13%, after short-lived rebound",https://www.cnbc.com/2026/02/05/silver-resumes-its-slide-plunging-12percent-after-short-lived-rebound.html,2026-02-05T04:59:04,"Silver prices slid as much as 16% on Thursday, snapping a two-day rebound as investors continued to unwind positions.",2026-02-05T05:21:03.379178
